Studie;Leeftijd;Geslacht;Subject;Sessie;Geld;Manipulatie
Politicologie;21;V;1;160616_1408;6.5;80
Medische biologie;19;M;2;160616_1408;6.5;90
Politicologie;20;M;3;160616_1408;7;17
Bedrijfskunde;21;M;4;160616_1408;5;80
Franse taal en cultuur;21;V;5;160616_1408;5;60
Politicologie;21;M;6;160616_1408;6;70
Communicatie en Informatiewetenschappen;24;V;7;160616_1408;5;20
Geografie;21;V;8;160616_1408;5;15
Economie;24;M;9;160616_1408;8;28
Economie;21;M;10;160616_1408;7.75;40
Geschiedenis;32;M;11;160616_1408;5;15
Geografie;21;M;12;160616_1408;5.25;21
Bedrijfskunde;23;V;13;160616_1408;6.25;80
Geografie;23;V;14;160616_1408;6.5;55
Geografie;22;V;15;160616_1408;6.5;20
Politicologie;21;V;16;160616_1408;5;50
Bedrijfskunde;21;V;17;160616_1408;5.75;70
Bedrijfskunde;21;V;18;160616_1408;6.75;75
Bedrijfskunde;29;M;19;160616_1408;5.5;19
Economie;21;M;20;160616_1408;5.25;100
