Studie;Leeftijd;Geslacht;Subject;Sessie;Geld;Manipulatie
Bestuurskunde;23;V;1;160609_1347;5.25;25
Geen;37;V;2;160609_1347;4;2
Engelse Taal & Cultuur;35;V;3;160609_1347;5.25;75
Bedrijfskunde;19;V;4;160609_1347;4.75;20
Literary Studies ;22;M;5;160609_1347;5.25;30
Politicologie;22;M;6;160609_1347;4;18
PWO;24;V;7;160609_1347;5.25;75
Engelse Taal & Cultuur;23;V;8;160609_1347;4.75;40
Nederlands;21;V;9;160609_1347;5.5;12
PWO;22;V;10;160609_1347;4;20
Engelse Taal & Cultuur;22;V;11;160609_1347;5.5;75
Rechten;22;V;12;160609_1347;5.5;100
Politicologie;21;M;13;160609_1347;4;17
Geografie;22;M;14;160609_1347;5.5;50
