Studie;Leeftijd;Geslacht;Subject;Sessie;Geld;Manipulatie
Behavioural Science;25;M;1;160609_1227;6.5;25
Politicologie;21;M;2;160609_1227;7;40
Politicologie;22;M;3;160609_1227;7;85
Communicatiewetenschap;21;M;4;160609_1227;7;90
Recht en economie;23;M;5;160609_1227;4;6
Rechten;21;M;6;160609_1227;5.5;33
Politicologie;20;M;7;160609_1227;6.75;65
Geografie;20;M;8;160609_1227;7;94
Moleculaire levenswetenschappen;21;V;9;160609_1227;4;17
Grieks en Latijn;20;M;10;160609_1227;4;20
Geografie;23;M;11;160609_1227;7;80
Bestuurskunde;22;M;12;160609_1227;5.5;70
Planologie;26;M;13;160609_1227;7;23
ALO;21;M;14;160609_1227;5.5;16
Biologie;23;M;15;160609_1227;5.5;90
Geografie;21;V;16;160609_1227;5.25;65
Politicologie;29;M;17;160609_1227;4;20
Bestuurskunde;18;M;18;160609_1227;5;30
Politicologie;22;M;19;160609_1227;7;83
Communicatie en Informatie Wetenschap;20;V;20;160609_1227;5.5;65
Politicologie;22;V;21;160609_1227;5.5;65
Politicologie;21;V;22;160609_1227;4;7
